place,sector,employment,proportion
Thunder Bay,212 Mining and quarrying (except oil and gas),530,0.008740826
Victoriaville,325 Chemical manufacturing,210,0.008733624
"Sorel-Tracy, QC",325 Chemical manufacturing,160,0.008733624
Sainte-Marie,326 Plastics and rubber products manufacturing,65,0.00868984
Penticton,213 Support activities for mining and oil and gas extraction,175,0.008549096
Grand Falls-Windsor,212 Mining and quarrying (except oil and gas),55,0.008547009
St. Catharines - Niagara,331 Primary metal manufacturing,1700,0.008520876
Matane,336 Transportation equipment manufacturing,70,0.008469449
Salmon Arm,213 Support activities for mining and oil and gas extraction,70,0.008449004
Salmon Arm,336 Transportation equipment manufacturing,70,0.008449004
Miramichi,336 Transportation equipment manufacturing,110,0.008380952
"Guelph, ON",326 Plastics and rubber products manufacturing,720,0.008360427
Kingston,325 Chemical manufacturing,680,0.008335376
Orillia,326 Plastics and rubber products manufacturing,120,0.008278717
Regina,324 Petroleum and coal products manufacturing,1085,0.008227488
Nelson,336 Transportation equipment manufacturing,80,0.008213552
Bay Roberts,212 Mining and quarrying (except oil and gas),40,0.008205128
Whitehorse,213 Support activities for mining and oil and gas extraction,140,0.00818235
Lethbridge,213 Support activities for mining and oil and gas extraction,510,0.008166533
Cape Breton,211 Oil and gas extraction,345,0.008121469
"Sarnia, ON",211 Oil and gas extraction,370,0.008113145
"Lloydminster, SK",324 Petroleum and coal products manufacturing,70,0.008106543
Canmore,213 Support activities for mining and oil and gas extraction,70,0.008097166
Vernon,213 Support activities for mining and oil and gas extraction,235,0.008081155
High River,211 Oil and gas extraction,55,0.008040936
Sainte-Marie,327 Non-metallic mineral product manufacturing,60,0.00802139
"Cranbrook, BC",213 Support activities for mining and oil and gas extraction,105,0.007915567
"Chatham-Kent, ON",331 Primary metal manufacturing,385,0.00788692
Port Hope,326 Plastics and rubber products manufacturing,65,0.007864489
Thetford Mines,336 Transportation equipment manufacturing,100,0.007824726
Regina,331 Primary metal manufacturing,1025,0.007772512
Kamloops,213 Support activities for mining and oil and gas extraction,415,0.007749043
