place,sector,employment,proportion
"Alma, QC",336 Transportation equipment manufacturing,20,0.001306762
Owen Sound,325 Chemical manufacturing,20,0.001306762
Rimouski,326 Plastics and rubber products manufacturing,35,0.00129822
"Norfolk, ON",213 Support activities for mining and oil and gas extraction,40,0.001296176
Shawinigan,212 Mining and quarrying (except oil and gas),30,0.00129394
"Saguenay, QC",325 Chemical manufacturing,100,0.001291656
Fredericton,327 Non-metallic mineral product manufacturing,70,0.001288185
Lethbridge,325 Chemical manufacturing,80,0.001281025
Kelowna,326 Plastics and rubber products manufacturing,130,0.001270834
Ottawa - Gatineau (Quebec part),325 Chemical manufacturing,225,0.001270253
Brandon,211 Oil and gas extraction,40,0.001267026
Peterborough,213 Support activities for mining and oil and gas extraction,75,0.001265823
Prince George,324 Petroleum and coal products manufacturing,60,0.001264889
New Glasgow,324 Petroleum and coal products manufacturing,20,0.001252348
Kenora,327 Non-metallic mineral product manufacturing,10,0.001249219
Kenora,331 Primary metal manufacturing,10,0.001249219
Kenora,336 Transportation equipment manufacturing,10,0.001249219
Ottawa - Gatineau,327 Non-metallic mineral product manufacturing,885,0.001246786
"Estevan, SK",331 Primary metal manufacturing,10,0.001234568
Steinbach,212 Mining and quarrying (except oil and gas),10,0.001230769
"Sault Ste. Marie, ON",336 Transportation equipment manufacturing,45,0.00123018
"Red Deer, AB",212 Mining and quarrying (except oil and gas),70,0.00122958
"Chatham-Kent, ON",213 Support activities for mining and oil and gas extraction,60,0.00122913
"Arnprior, ON",211 Oil and gas extraction,10,0.00122399
St. John's,325 Chemical manufacturing,135,0.001216381
St. John's,326 Plastics and rubber products manufacturing,135,0.001216381
Regina,326 Plastics and rubber products manufacturing,160,0.00121327
"Midland, ON",212 Mining and quarrying (except oil and gas),20,0.001211754
"Midland, ON",325 Chemical manufacturing,20,0.001211754
Matane,325 Chemical manufacturing,10,0.001209921
Matane,326 Plastics and rubber products manufacturing,10,0.001209921
Port Hope,213 Support activities for mining and oil and gas extraction,10,0.001209921
Salmon Arm,211 Oil and gas extraction,10,0.001207001
Salmon Arm,327 Non-metallic mineral product manufacturing,10,0.001207001
Saint-Georges,325 Chemical manufacturing,20,0.001204094
Vernon,331 Primary metal manufacturing,35,0.001203576
Victoria,327 Non-metallic mineral product manufacturing,235,0.001202692
"Summerside, PEI",211 Oil and gas extraction,10,0.001199041
"Summerside, PEI",324 Petroleum and coal products manufacturing,10,0.001199041
"Summerside, PEI",327 Non-metallic mineral product manufacturing,10,0.001199041
"Summerside, PEI",331 Primary metal manufacturing,10,0.001199041
QuÃ©bec,212 Mining and quarrying (except oil and gas),515,0.001194438
Cobourg,213 Support activities for mining and oil and gas extraction,10,0.001192606
Ottawa - Gatineau,325 Chemical manufacturing,840,0.00118339
QuÃ©bec,324 Petroleum and coal products manufacturing,510,0.001182842
Terrace,211 Oil and gas extraction,10,0.001179245
Terrace,324 Petroleum and coal products manufacturing,10,0.001179245
Terrace,326 Plastics and rubber products manufacturing,10,0.001179245
"Wasaga Beach, ON",325 Chemical manufacturing,10,0.00117855
Granby,324 Petroleum and coal products manufacturing,50,0.001178273
Cape Breton,336 Transportation equipment manufacturing,50,0.001177024
Kelowna,331 Primary metal manufacturing,120,0.001173078
"Kentville, NS",327 Non-metallic mineral product manufacturing,15,0.001171417
North Bay,327 Non-metallic mineral product manufacturing,40,0.00116942
Whitehorse,327 Non-metallic mineral product manufacturing,20,0.001168907
"Sylvan Lake, AB",336 Transportation equipment manufacturing,10,0.001166861
"Brooks, AB",326 Plastics and rubber products manufacturing,15,0.00116189
"Brooks, AB",331 Primary metal manufacturing,15,0.00116189
"Lloydminster, SK",212 Mining and quarrying (except oil and gas),10,0.001158078
"Lloydminster, SK",325 Chemical manufacturing,10,0.001158078
"Lloydminster, SK",327 Non-metallic mineral product manufacturing,10,0.001158078
Ottawa - Gatineau (Quebec part),212 Mining and quarrying (except oil and gas),205,0.001157342
Canmore,324 Petroleum and coal products manufacturing,10,0.001156738
Canmore,331 Primary metal manufacturing,10,0.001156738
"Rouyn-Noranda, QC",211 Oil and gas extraction,25,0.001154734
Ottawa - Gatineau (Ontario part),325 Chemical manufacturing,615,0.001154507
Thunder Bay,327 Non-metallic mineral product manufacturing,70,0.001154449
St. Catharines - Niagara,212 Mining and quarrying (except oil and gas),230,0.001152824
Chilliwack,324 Petroleum and coal products manufacturing,55,0.001145475
"Val-d'Or, QC",211 Oil and gas extraction,20,0.001141878
Regina,336 Transportation equipment manufacturing,150,0.001137441
"Norfolk, ON",211 Oil and gas extraction,35,0.001134154
"Norfolk, ON",212 Mining and quarrying (except oil and gas),35,0.001134154
"Cranbrook, BC",327 Non-metallic mineral product manufacturing,15,0.001130795
"Cranbrook, BC",331 Primary metal manufacturing,15,0.001130795
Ottawa - Gatineau (Quebec part),336 Transportation equipment manufacturing,200,0.001129114
"Cold Lake, AB",212 Mining and quarrying (except oil and gas),10,0.001117318
Saint John,336 Transportation equipment manufacturing,70,0.001101668
"Sault Ste. Marie, ON",211 Oil and gas extraction,40,0.001093494
"Sorel-Tracy, QC",213 Support activities for mining and oil and gas extraction,20,0.001091703
"Brockville, ON",336 Transportation equipment manufacturing,20,0.001091107
Moncton,327 Non-metallic mineral product manufacturing,85,0.001091072
Petawawa,325 Chemical manufacturing,10,0.001089325
Petawawa,326 Plastics and rubber products manufacturing,10,0.001089325
Petawawa,327 Non-metallic mineral product manufacturing,10,0.001089325
Ottawa - Gatineau (Ontario part),327 Non-metallic mineral product manufacturing,580,0.001088803
Bathurst,336 Transportation equipment manufacturing,15,0.001066856
"Grande Prairie, AB",212 Mining and quarrying (except oil and gas),40,0.001065105
"Grande Prairie, AB",326 Plastics and rubber products manufacturing,40,0.001065105
Vancouver,212 Mining and quarrying (except oil and gas),1415,0.001063458
Victoria,211 Oil and gas extraction,205,0.001049157
"Williams Lake, BC",327 Non-metallic mineral product manufacturing,10,0.001048218
Camrose,336 Transportation equipment manufacturing,10,0.001031992
Vernon,325 Chemical manufacturing,30,0.001031637
RiviÃ¨re-du-Loup,325 Chemical manufacturing,15,0.001027046
Nelson,324 Petroleum and coal products manufacturing,10,0.001026694
Nelson,327 Non-metallic mineral product manufacturing,10,0.001026694
Saint John,331 Primary metal manufacturing,65,0.001022978
North Battleford,324 Petroleum and coal products manufacturing,10,0.001012658
North Battleford,331 Primary metal manufacturing,10,0.001012658
Fredericton,212 Mining and quarrying (except oil and gas),55,0.001012146
Yorkton,331 Primary metal manufacturing,10,0.000997009
Yorkton,336 Transportation equipment manufacturing,10,0.000997009
Duncan,324 Petroleum and coal products manufacturing,20,0.000985222
Duncan,325 Chemical manufacturing,20,0.000985222
Corner Brook,324 Petroleum and coal products manufacturing,15,0.000984252
Corner Brook,325 Chemical manufacturing,15,0.000984252
Corner Brook,326 Plastics and rubber products manufacturing,15,0.000984252
"Alma, QC",213 Support activities for mining and oil and gas extraction,15,0.000980072
Owen Sound,326 Plastics and rubber products manufacturing,15,0.000980072
Owen Sound,331 Primary metal manufacturing,15,0.000980072
"Swift Current, SK",326 Plastics and rubber products manufacturing,10,0.000968992
Lethbridge,324 Petroleum and coal products manufacturing,60,0.000960769
Sherbrooke,212 Mining and quarrying (except oil and gas),100,0.000951158
Brandon,331 Primary metal manufacturing,30,0.000950269
"Calgary, AB",212 Mining and quarrying (except oil and gas),760,0.00094984
Collingwood,213 Support activities for mining and oil and gas extraction,10,0.000949668
Collingwood,326 Plastics and rubber products manufacturing,10,0.000949668
Collingwood,331 Primary metal manufacturing,10,0.000949668
Brantford,212 Mining and quarrying (except oil and gas),65,0.000943191
Brantford,213 Support activities for mining and oil and gas extraction,65,0.000943191
"Woodstock, ON",211 Oil and gas extraction,20,0.000943174
Cape Breton,325 Chemical manufacturing,40,0.00094162
Charlottetown,326 Plastics and rubber products manufacturing,35,0.000940355
New Glasgow,327 Non-metallic mineral product manufacturing,15,0.000939261
Kingston,213 Support activities for mining and oil and gas extraction,75,0.000919343
Pembroke,211 Oil and gas extraction,10,0.000919118
Port Alberni,331 Primary metal manufacturing,10,0.000909091
"Midland, ON",213 Support activities for mining and oil and gas extraction,15,0.000908816
Thunder Bay,211 Oil and gas extraction,55,0.000907067
Saint-Georges,324 Petroleum and coal products manufacturing,15,0.00090307
"Lloydminster, AB",212 Mining and quarrying (except oil and gas),10,0.000899685
"Lloydminster, AB",325 Chemical manufacturing,10,0.000899685
"Lloydminster, AB",326 Plastics and rubber products manufacturing,10,0.000899685
"Fort St. John, BC",212 Mining and quarrying (except oil and gas),15,0.000896593
"Fort St. John, BC",336 Transportation equipment manufacturing,15,0.000896593
Victoria,325 Chemical manufacturing,175,0.000895622
"Wood Buffalo, AB",336 Transportation equipment manufacturing,40,0.000894755
Truro,211 Oil and gas extraction,20,0.000887115
MontrÃ©al,212 Mining and quarrying (except oil and gas),1875,0.000881422
Edmundston,211 Oil and gas extraction,10,0.000879894
Edmundston,325 Chemical manufacturing,10,0.000879894
Quesnel,325 Chemical manufacturing,10,0.000878735
Quesnel,326 Plastics and rubber products manufacturing,10,0.000878735
Quesnel,331 Primary metal manufacturing,10,0.000878735
Whitehorse,336 Transportation equipment manufacturing,15,0.00087668
"Guelph, ON",212 Mining and quarrying (except oil and gas),75,0.000870878
Shawinigan,324 Petroleum and coal products manufacturing,20,0.000862627
Vernon,324 Petroleum and coal products manufacturing,25,0.000859697
Victoria,326 Plastics and rubber products manufacturing,165,0.000844443
Prince George,326 Plastics and rubber products manufacturing,40,0.000843259
Moose Jaw,331 Primary metal manufacturing,15,0.000835189
Fredericton,325 Chemical manufacturing,45,0.000828119
Fredericton,336 Transportation equipment manufacturing,45,0.000828119
Thunder Bay,325 Chemical manufacturing,50,0.000824606
Campbell River,325 Chemical manufacturing,15,0.000814996
Belleville,212 Mining and quarrying (except oil and gas),40,0.000796972
"Yellowknife, NWT",211 Oil and gas extraction,10,0.000796495
"Yellowknife, NWT",327 Non-metallic mineral product manufacturing,10,0.000796495
"Yellowknife, NWT",336 Transportation equipment manufacturing,10,0.000796495
Brandon,212 Mining and quarrying (except oil and gas),25,0.000791891
Hamilton,324 Petroleum and coal products manufacturing,305,0.000788603
"Barrie, ON",213 Support activities for mining and oil and gas extraction,85,0.000785147
Oshawa,211 Oil and gas extraction,155,0.000782947
Thetford Mines,213 Support activities for mining and oil and gas extraction,10,0.000782473
"Kentville, NS",325 Chemical manufacturing,10,0.000780945
"Brooks, AB",212 Mining and quarrying (except oil and gas),10,0.000774593
"Brooks, AB",336 Transportation equipment manufacturing,10,0.000774593
Winnipeg,213 Support activities for mining and oil and gas extraction,320,0.000768492
Vancouver,211 Oil and gas extraction,1020,0.000766592
Halifax,331 Primary metal manufacturing,170,0.000766249
Saskatoon,331 Primary metal manufacturing,125,0.000762497
Miramichi,324 Petroleum and coal products manufacturing,10,0.000761905
Cornwall,211 Oil and gas extraction,20,0.000757576
Abbotsford - Mission,211 Oil and gas extraction,70,0.000757453
Winnipeg,212 Mining and quarrying (except oil and gas),315,0.000756484
"Cranbrook, BC",324 Petroleum and coal products manufacturing,10,0.000753864
Thunder Bay,326 Plastics and rubber products manufacturing,45,0.000742146
Thunder Bay,331 Primary metal manufacturing,45,0.000742146
"Barrie, ON",212 Mining and quarrying (except oil and gas),80,0.000738962
Duncan,331 Primary metal manufacturing,15,0.000738916
"Kitchener - Cambridge - Waterloo, ON",212 Mining and quarrying (except oil and gas),210,0.000736752
Fredericton,324 Petroleum and coal products manufacturing,40,0.000736106
Fredericton,326 Plastics and rubber products manufacturing,40,0.000736106
Kelowna,324 Petroleum and coal products manufacturing,75,0.000733174
Penticton,324 Petroleum and coal products manufacturing,15,0.00073278
"Saguenay, QC",324 Petroleum and coal products manufacturing,55,0.000710411
Kawartha Lakes,324 Petroleum and coal products manufacturing,25,0.00070502
"Sept-Îles, QC",324 Petroleum and coal products manufacturing,10,0.000702247
"Sept-Îles, QC",325 Chemical manufacturing,10,0.000702247
"Sept-Îles, QC",327 Non-metallic mineral product manufacturing,10,0.000702247
"Sept-Îles, QC",336 Transportation equipment manufacturing,10,0.000702247
Prince Albert,325 Chemical manufacturing,15,0.000702083
Prince Albert,326 Plastics and rubber products manufacturing,15,0.000702083
Prince Albert,327 Non-metallic mineral product manufacturing,15,0.000702083
St. Catharines - Niagara,213 Support activities for mining and oil and gas extraction,140,0.000701719
Nanaimo,326 Plastics and rubber products manufacturing,35,0.000684932
RiviÃ¨re-du-Loup,211 Oil and gas extraction,10,0.000684697
RiviÃ¨re-du-Loup,324 Petroleum and coal products manufacturing,10,0.000684697
"Sault Ste. Marie, ON",326 Plastics and rubber products manufacturing,25,0.000683434
"Timmins, ON",324 Petroleum and coal products manufacturing,15,0.00068306
"Timmins, ON",326 Plastics and rubber products manufacturing,15,0.00068306
Charlottetown,211 Oil and gas extraction,25,0.000671682
Charlottetown,331 Primary metal manufacturing,25,0.000671682
"Grande Prairie, AB",336 Transportation equipment manufacturing,25,0.00066569
Truro,324 Petroleum and coal products manufacturing,15,0.000665336
"Centre Wellington, ON",213 Support activities for mining and oil and gas extraction,10,0.00066313
"Centre Wellington, ON",324 Petroleum and coal products manufacturing,10,0.00066313
"Winkler, MB",211 Oil and gas extraction,10,0.000658762
"Winkler, MB",212 Mining and quarrying (except oil and gas),10,0.000658762
"Winkler, MB",213 Support activities for mining and oil and gas extraction,10,0.000658762
"Winkler, MB",324 Petroleum and coal products manufacturing,10,0.000658762
Corner Brook,331 Primary metal manufacturing,10,0.000656168
Corner Brook,336 Transportation equipment manufacturing,10,0.000656168
"Alma, QC",324 Petroleum and coal products manufacturing,10,0.000653381
Owen Sound,211 Oil and gas extraction,10,0.000653381
Toronto,212 Mining and quarrying (except oil and gas),1990,0.000632923
New Glasgow,325 Chemical manufacturing,10,0.000626174
Drummondville,213 Support activities for mining and oil and gas extraction,30,0.00062435
"Chatham-Kent, ON",324 Petroleum and coal products manufacturing,30,0.000614565
Kingston,212 Mining and quarrying (except oil and gas),50,0.000612895
Halifax,324 Petroleum and coal products manufacturing,135,0.000608492
Saint-Georges,213 Support activities for mining and oil and gas extraction,10,0.000602047
"Fort St. John, BC",325 Chemical manufacturing,10,0.000597729
"Fort St. John, BC",326 Plastics and rubber products manufacturing,10,0.000597729
"Fort St. John, BC",331 Primary metal manufacturing,10,0.000597729
Carleton Place,211 Oil and gas extraction,10,0.000597015
Carleton Place,213 Support activities for mining and oil and gas extraction,10,0.000597015
Carleton Place,324 Petroleum and coal products manufacturing,10,0.000597015
Carleton Place,326 Plastics and rubber products manufacturing,10,0.000597015
Hamilton,212 Mining and quarrying (except oil and gas),230,0.000594684
Ottawa - Gatineau (Quebec part),326 Plastics and rubber products manufacturing,105,0.000592785
Granby,212 Mining and quarrying (except oil and gas),25,0.000589136
Cape Breton,331 Primary metal manufacturing,25,0.000588512
Nanaimo,331 Primary metal manufacturing,30,0.000587084
"Stratford, ON",212 Mining and quarrying (except oil and gas),10,0.000585823
North Bay,211 Oil and gas extraction,20,0.00058471
North Bay,324 Petroleum and coal products manufacturing,20,0.00058471
Whitehorse,324 Petroleum and coal products manufacturing,10,0.000584454
"Saguenay, QC",326 Plastics and rubber products manufacturing,45,0.000581245
Brantford,324 Petroleum and coal products manufacturing,40,0.000580425
Moncton,331 Primary metal manufacturing,45,0.000577627
"London, ON",213 Support activities for mining and oil and gas extraction,145,0.000574235
Cornwall,213 Support activities for mining and oil and gas extraction,15,0.000568182
Ottawa - Gatineau,212 Mining and quarrying (except oil and gas),400,0.000563519
Kamloops,324 Petroleum and coal products manufacturing,30,0.000560172
"Wood Buffalo, AB",326 Plastics and rubber products manufacturing,25,0.000559222
Rimouski,324 Petroleum and coal products manufacturing,15,0.00055638
"Sault Ste. Marie, ON",324 Petroleum and coal products manufacturing,20,0.000546747
"Sorel-Tracy, QC",324 Petroleum and coal products manufacturing,10,0.000545852
"Brockville, ON",211 Oil and gas extraction,10,0.000545554
"Brockville, ON",213 Support activities for mining and oil and gas extraction,10,0.000545554
QuÃ©bec,213 Support activities for mining and oil and gas extraction,235,0.000545035
Campbell River,331 Primary metal manufacturing,10,0.000543331
Abbotsford - Mission,324 Petroleum and coal products manufacturing,50,0.000541038
Halifax,212 Mining and quarrying (except oil and gas),120,0.000540882
MontrÃ©al,324 Petroleum and coal products manufacturing,1145,0.000538255
Salaberry-de-Valleyfield,213 Support activities for mining and oil and gas extraction,10,0.000531067
"Kitchener - Cambridge - Waterloo, ON",213 Support activities for mining and oil and gas extraction,150,0.000526251
Saint-Hyacinthe,213 Support activities for mining and oil and gas extraction,15,0.000511509
"Kitchener - Cambridge - Waterloo, ON",324 Petroleum and coal products manufacturing,145,0.000508709
Toronto,213 Support activities for mining and oil and gas extraction,1595,0.000507293
Oshawa,212 Mining and quarrying (except oil and gas),100,0.000505127
Oshawa,213 Support activities for mining and oil and gas extraction,100,0.000505127
"Medicine Hat, AB",331 Primary metal manufacturing,20,0.000503905
Belleville,211 Oil and gas extraction,25,0.000498107
Nanaimo,324 Petroleum and coal products manufacturing,25,0.000489237
Penticton,326 Plastics and rubber products manufacturing,10,0.00048852
"Windsor, ON",213 Support activities for mining and oil and gas extraction,75,0.000477844
St. Catharines - Niagara,211 Oil and gas extraction,95,0.000476167
Sherbrooke,213 Support activities for mining and oil and gas extraction,50,0.000475579
Sherbrooke,324 Petroleum and coal products manufacturing,50,0.000475579
Brandon,324 Petroleum and coal products manufacturing,15,0.000475135
Trois-RiviÃ¨res,324 Petroleum and coal products manufacturing,35,0.000472622
Prince Albert,324 Petroleum and coal products manufacturing,10,0.000468055
"Rouyn-Noranda, QC",325 Chemical manufacturing,10,0.000461894
"Rouyn-Noranda, QC",336 Transportation equipment manufacturing,10,0.000461894
Ottawa - Gatineau,326 Plastics and rubber products manufacturing,325,0.000457859
"Timmins, ON",211 Oil and gas extraction,10,0.000455373
"Timmins, ON",325 Chemical manufacturing,10,0.000455373
Hamilton,213 Support activities for mining and oil and gas extraction,175,0.000452477
"Wood Buffalo, AB",331 Primary metal manufacturing,20,0.000447377
"Leamington, ON",211 Oil and gas extraction,10,0.000442478
"Leamington, ON",213 Support activities for mining and oil and gas extraction,10,0.000442478
"Leamington, ON",324 Petroleum and coal products manufacturing,10,0.000442478
Shawinigan,213 Support activities for mining and oil and gas extraction,10,0.000431313
Saskatoon,324 Petroleum and coal products manufacturing,70,0.000426999
Ottawa - Gatineau (Quebec part),213 Support activities for mining and oil and gas extraction,75,0.000423418
Ottawa - Gatineau,213 Support activities for mining and oil and gas extraction,300,0.000422639
Ottawa - Gatineau (Ontario part),326 Plastics and rubber products manufacturing,225,0.000422381
Victoriaville,213 Support activities for mining and oil and gas extraction,10,0.000415887
Victoriaville,324 Petroleum and coal products manufacturing,10,0.000415887
Ottawa - Gatineau (Ontario part),213 Support activities for mining and oil and gas extraction,220,0.000412994
Winnipeg,211 Oil and gas extraction,170,0.000408261
"Guelph, ON",213 Support activities for mining and oil and gas extraction,35,0.00040641
Courtenay,324 Petroleum and coal products manufacturing,10,0.000403063
Courtenay,326 Plastics and rubber products manufacturing,10,0.000403063
St. Catharines - Niagara,324 Petroleum and coal products manufacturing,80,0.000400982
Belleville,213 Support activities for mining and oil and gas extraction,20,0.000398486
Cornwall,212 Mining and quarrying (except oil and gas),10,0.000378788
Toronto,324 Petroleum and coal products manufacturing,1185,0.000376892
Fredericton,331 Primary metal manufacturing,20,0.000368053
Victoria,212 Mining and quarrying (except oil and gas),70,0.000358249
Ottawa - Gatineau (Ontario part),212 Mining and quarrying (except oil and gas),190,0.000356677
"Guelph, ON",324 Petroleum and coal products manufacturing,30,0.000348351
MontrÃ©al,213 Support activities for mining and oil and gas extraction,725,0.000340816
"London, ON",211 Oil and gas extraction,85,0.00033662
Oshawa,324 Petroleum and coal products manufacturing,65,0.000328333
"London, ON",212 Mining and quarrying (except oil and gas),80,0.000316819
Brandon,326 Plastics and rubber products manufacturing,10,0.000316756
Vancouver,324 Petroleum and coal products manufacturing,420,0.000315655
Ottawa - Gatineau (Quebec part),331 Primary metal manufacturing,55,0.000310506
Hamilton,211 Oil and gas extraction,120,0.00031027
"Chatham-Kent, ON",212 Mining and quarrying (except oil and gas),15,0.000307283
"Sudbury, ON",211 Oil and gas extraction,25,0.000299688
Toronto,211 Oil and gas extraction,920,0.000292608
Kawartha Lakes,211 Oil and gas extraction,10,0.000282008
Ottawa - Gatineau,331 Primary metal manufacturing,200,0.00028176
Charlottetown,212 Mining and quarrying (except oil and gas),10,0.000268673
"Grande Prairie, AB",331 Primary metal manufacturing,10,0.000266276
Ottawa - Gatineau (Ontario part),331 Primary metal manufacturing,140,0.000262815
"London, ON",324 Petroleum and coal products manufacturing,65,0.000257416
Ottawa - Gatineau (Ontario part),211 Oil and gas extraction,135,0.000253428
Peterborough,211 Oil and gas extraction,15,0.000253165
Thunder Bay,324 Petroleum and coal products manufacturing,15,0.000247382
"Barrie, ON",324 Petroleum and coal products manufacturing,25,0.000230926
"Windsor, ON",211 Oil and gas extraction,35,0.000222994
"Sarnia, ON",212 Mining and quarrying (except oil and gas),10,0.000219274
Winnipeg,324 Petroleum and coal products manufacturing,85,0.000204131
Trois-RiviÃ¨res,213 Support activities for mining and oil and gas extraction,15,0.000202552
Belleville,324 Petroleum and coal products manufacturing,10,0.000199243
"Barrie, ON",211 Oil and gas extraction,20,0.00018474
Kingston,211 Oil and gas extraction,15,0.000183869
Kingston,324 Petroleum and coal products manufacturing,15,0.000183869
Ottawa - Gatineau,211 Oil and gas extraction,130,0.000183144
Peterborough,324 Petroleum and coal products manufacturing,10,0.000168776
QuÃ©bec,211 Oil and gas extraction,70,0.000162351
Victoria,324 Petroleum and coal products manufacturing,30,0.000153535
Trois-RiviÃ¨res,211 Oil and gas extraction,10,0.000135035
Victoria,331 Primary metal manufacturing,25,0.000127946
"Windsor, ON",324 Petroleum and coal products manufacturing,20,0.000127425
"Guelph, ON",211 Oil and gas extraction,10,0.000116117
MontrÃ©al,211 Oil and gas extraction,240,0.000112822
Sherbrooke,211 Oil and gas extraction,10,9.51E-05
"Kitchener - Cambridge - Waterloo, ON",211 Oil and gas extraction,25,8.77E-05
Ottawa - Gatineau (Quebec part),324 Petroleum and coal products manufacturing,15,8.47E-05
Ottawa - Gatineau,324 Petroleum and coal products manufacturing,60,8.45E-05
Ottawa - Gatineau (Ontario part),324 Petroleum and coal products manufacturing,45,8.45E-05
Bay Roberts,326 Plastics and rubber products manufacturing,0,0
Grand Falls-Windsor,325 Chemical manufacturing,0,0
Grand Falls-Windsor,331 Primary metal manufacturing,0,0
Gander,325 Chemical manufacturing,0,0
Gander,326 Plastics and rubber products manufacturing,0,0
Gander,331 Primary metal manufacturing,0,0
Charlottetown,324 Petroleum and coal products manufacturing,0,0
"Summerside, PEI",212 Mining and quarrying (except oil and gas),0,0
"Summerside, PEI",326 Plastics and rubber products manufacturing,0,0
"Kentville, NS",211 Oil and gas extraction,0,0
"Kentville, NS",324 Petroleum and coal products manufacturing,0,0
"Kentville, NS",331 Primary metal manufacturing,0,0
Miramichi,326 Plastics and rubber products manufacturing,0,0
Campbellton,325 Chemical manufacturing,0,0
Campbellton (New Brunswick part),212 Mining and quarrying (except oil and gas),0,0
Campbellton (New Brunswick part),213 Support activities for mining and oil and gas extraction,0,0
Campbellton (New Brunswick part),324 Petroleum and coal products manufacturing,0,0
Campbellton (New Brunswick part),326 Plastics and rubber products manufacturing,0,0
Campbellton (New Brunswick part),327 Non-metallic mineral product manufacturing,0,0
Campbellton (Quebec part),211 Oil and gas extraction,0,0
Campbellton (Quebec part),212 Mining and quarrying (except oil and gas),0,0
Campbellton (Quebec part),213 Support activities for mining and oil and gas extraction,0,0
Campbellton (Quebec part),324 Petroleum and coal products manufacturing,0,0
Campbellton (Quebec part),325 Chemical manufacturing,0,0
Campbellton (Quebec part),326 Plastics and rubber products manufacturing,0,0
Campbellton (Quebec part),327 Non-metallic mineral product manufacturing,0,0
Campbellton (Quebec part),331 Primary metal manufacturing,0,0
Campbellton (Quebec part),336 Transportation equipment manufacturing,0,0
Edmundston,212 Mining and quarrying (except oil and gas),0,0
Edmundston,213 Support activities for mining and oil and gas extraction,0,0
Edmundston,324 Petroleum and coal products manufacturing,0,0
Matane,211 Oil and gas extraction,0,0
Matane,213 Support activities for mining and oil and gas extraction,0,0
Rimouski,211 Oil and gas extraction,0,0
Rimouski,213 Support activities for mining and oil and gas extraction,0,0
RiviÃ¨re-du-Loup,213 Support activities for mining and oil and gas extraction,0,0
"Baie-Comeau, QC",211 Oil and gas extraction,0,0
"Baie-Comeau, QC",213 Support activities for mining and oil and gas extraction,0,0
"Baie-Comeau, QC",324 Petroleum and coal products manufacturing,0,0
"Baie-Comeau, QC",325 Chemical manufacturing,0,0
"Baie-Comeau, QC",326 Plastics and rubber products manufacturing,0,0
"Baie-Comeau, QC",336 Transportation equipment manufacturing,0,0
"Saguenay, QC",211 Oil and gas extraction,0,0
"Alma, QC",211 Oil and gas extraction,0,0
"Alma, QC",325 Chemical manufacturing,0,0
Dolbeau-Mistassini,211 Oil and gas extraction,0,0
Dolbeau-Mistassini,325 Chemical manufacturing,0,0
"Sept-Îles, QC",211 Oil and gas extraction,0,0
Sainte-Marie,211 Oil and gas extraction,0,0
Sainte-Marie,213 Support activities for mining and oil and gas extraction,0,0
Saint-Georges,211 Oil and gas extraction,0,0
Thetford Mines,211 Oil and gas extraction,0,0
"Cowansville, QC",211 Oil and gas extraction,0,0
"Cowansville, QC",212 Mining and quarrying (except oil and gas),0,0
"Cowansville, QC",213 Support activities for mining and oil and gas extraction,0,0
"Cowansville, QC",327 Non-metallic mineral product manufacturing,0,0
Victoriaville,211 Oil and gas extraction,0,0
Shawinigan,211 Oil and gas extraction,0,0
Drummondville,211 Oil and gas extraction,0,0
Granby,211 Oil and gas extraction,0,0
Granby,213 Support activities for mining and oil and gas extraction,0,0
Saint-Hyacinthe,211 Oil and gas extraction,0,0
"Sorel-Tracy, QC",211 Oil and gas extraction,0,0
Joliette,211 Oil and gas extraction,0,0
Joliette,212 Mining and quarrying (except oil and gas),0,0
Joliette,213 Support activities for mining and oil and gas extraction,0,0
Salaberry-de-Valleyfield,211 Oil and gas extraction,0,0
Lachute,211 Oil and gas extraction,0,0
Lachute,213 Support activities for mining and oil and gas extraction,0,0
Lachute,324 Petroleum and coal products manufacturing,0,0
"Val-d'Or, QC",324 Petroleum and coal products manufacturing,0,0
"Val-d'Or, QC",326 Plastics and rubber products manufacturing,0,0
"Rouyn-Noranda, QC",324 Petroleum and coal products manufacturing,0,0
Cornwall,324 Petroleum and coal products manufacturing,0,0
Hawkesbury (Quebec part),211 Oil and gas extraction,0,0
Hawkesbury (Quebec part),212 Mining and quarrying (except oil and gas),0,0
Hawkesbury (Quebec part),324 Petroleum and coal products manufacturing,0,0
Hawkesbury (Quebec part),325 Chemical manufacturing,0,0
Hawkesbury (Quebec part),336 Transportation equipment manufacturing,0,0
"Hawkesbury, ON",211 Oil and gas extraction,0,0
"Hawkesbury, ON",212 Mining and quarrying (except oil and gas),0,0
"Hawkesbury, ON",324 Petroleum and coal products manufacturing,0,0
Ottawa - Gatineau (Quebec part),211 Oil and gas extraction,0,0
"Arnprior, ON",324 Petroleum and coal products manufacturing,0,0
Pembroke,213 Support activities for mining and oil and gas extraction,0,0
Pembroke,324 Petroleum and coal products manufacturing,0,0
Pembroke,326 Plastics and rubber products manufacturing,0,0
Petawawa,211 Oil and gas extraction,0,0
Petawawa,212 Mining and quarrying (except oil and gas),0,0
Petawawa,213 Support activities for mining and oil and gas extraction,0,0
Petawawa,324 Petroleum and coal products manufacturing,0,0
Petawawa,331 Primary metal manufacturing,0,0
Cobourg,211 Oil and gas extraction,0,0
Cobourg,324 Petroleum and coal products manufacturing,0,0
